id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,Dirección Normalizada,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad
2016-0127,1,2016-09-24,10,avenida,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-58.44094791,-34.66677111,peaton,pasajeros,peaton,masculino,50,fatal
2016-0128,1,2016-10-02,11,avenida,CASTRO y PAVON AV.,5,-58.41914024,-34.63053890,peaton,pasajeros,peaton,femenino,81,fatal
2016-0130,1,2016-10-04,12,autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,29,fatal
2016-0131,1,2016-10-09,19,calle,MIRAVE 3500,4,-58.39871183,-34.64539318,peaton,auto,peaton,masculino,35,fatal
2016-0132,1,2016-10-10,2,avenida,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,auto,pasajeros,pasajero_acompañante,masculino,30,fatal
2016-0133,1,2016-10-14,0,avenida,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.58342690,moto,auto,conductor,masculino,41,fatal
2016-0134,1,2016-10-23,5,avenida,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,25,fatal
2016-0135,1,2016-10-24,5,avenida,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-58.42260225,-34.56403694,peaton,,peaton,masculino,29,fatal
2016-0136,1,2016-10-25,0,autopista,,4,-58.36340155,-34.6243712,moto,cargas,conductor,,,fatal
2016-0137,1,2016-10-25,0,avenida,SAN MARTIN AV. y LADINES,11,-58.51537091,-34.59035925,moto,moto,conductor,masculino,30,fatal
2016-0138,1,2016-10-27,20,avenida,CABILDO AV. y BLANCO ENCALADA,13,-58.45909670,-34.55922742,bicicleta,cargas,ciclista,femenino,33,fatal
2016-0139,1,2016-10-28,23,avenida,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-58.42008769,-34.56539579,moto,moto,pasajero_acompañante,femenino,35,fatal
2016-0140,1,2016-10-31,2,avenida,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,pasajeros,pasajeros,pasajero_acompañante,masculino,20,fatal
